,Temperature,L,R,A_M,Color_Red,Color_Blue,Color_BlueWhite,Color_White,Color_YellowWhite,Color_Yellow,Color_Orange,Color_OrangeRed,Color_YellowOrange,Spectral_Class_M,Spectral_Class_B,Spectral_Class_O,Spectral_Class_A,Spectral_Class_F,Spectral_Class_K,Spectral_Class_G,star_type,r_log,r_clipped,l_log,temp_log
20,25000,0.056,0.0084,10.58,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,White Dwarf,-4.779523573132869,0.0,-2.8824035882469876,10.126631103850338
21,7740,0.00049,0.01234,14.02,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,White Dwarf,-4.394909260504895,0.03113192231754089,-7.621105166859602,8.954156966583772
22,7220,0.00017,0.011,14.23,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,White Dwarf,-4.509860006183766,0.02182743840386106,-8.679712120914012,8.884610231886873
23,8500,0.0005,0.01,14.5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,White Dwarf,-4.605170185988091,0.014112725205943318,-7.600902459542082,9.047821442478408
24,16500,0.013,0.014,11.89,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,White Dwarf,-4.268697949366879,0.04134787269935703,-4.3428059215206005,9.711115659888671
25,12990,8.5e-05,0.00984,12.23,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,White Dwarf,-4.621299567917975,0.012807161037412714,-9.372859301473957,9.471935109664646
26,8570,0.00081,0.0097,14.2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,White Dwarf,-4.6356293934728,0.011647258762979618,-7.1184763102977895,9.056023011591826
27,7700,0.00011,0.0128,14.47,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,White Dwarf,-4.358310108056566,0.03409437569875797,-9.115030192171858,8.948975607841776
28,11790,0.00015,0.011,12.59,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,White Dwarf,-4.509860006183766,0.02182743840386106,-8.804875263868018,9.375006993531416
29,7230,8e-05,0.013,14.08,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,White Dwarf,-4.3428059215206005,0.03534933453670743,-9.433483923290392,8.88599431515281
30,39000,204000.0,10.6,-4.7,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Main Sequence,2.3608540011180215,0.5779651787803013,12.225875272826354,10.571316925111784
31,30000,28840.0,6.3,-4.2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Main Sequence,1.840549633397487,0.5358500659893198,10.269518591398885,10.308952660644293
32,15276,1136.0,7.2,-1.97,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Main Sequence,1.9740810260220096,0.5466585273638728,7.035268599281097,9.634038248345407
33,9700,74.0,2.89,0.16,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Main Sequence,1.0612565021243408,0.47277156779298357,4.30406509320417,9.179881164491475
34,5800,0.81,0.9,5.05,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Main Sequence,-0.10536051565782628,0.37834182563451657,-0.21072103131565253,8.66561319653451
35,8052,8.7,1.8,2.42,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Main Sequence,0.5877866649021191,0.43444739287763534,2.163323025660538,8.993675786759683
36,6757,1.43,1.12,2.41,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Main Sequence,0.11332868530700327,0.3960432345332216,0.3576744442718159,8.818334283552174
37,6380,1.35,0.98,2.93,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Main Sequence,-0.020202707317519466,0.38523477315866866,0.30010459245033816,8.760923376338836
38,5936,1.357,1.106,4.46,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Main Sequence,0.10074990310014315,0.395025067352085,0.30527638085273207,8.688790784847216
39,5587,0.819,0.99,5.03,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Main Sequence,-0.01005033585350145,0.3860565388324343,-0.1996711951290677,8.628197749459149
40,3826,200000.0,19.0,-6.93,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Super Giants,2.9444389791664403,0.6252024281643632,12.206072645530174,8.249575150000199
41,3365,340000.0,23.0,-6.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Super Giants,3.1354942159291497,0.6406670549189304,12.736700896592344,8.121183242078828
42,3270,150000.0,88.0,-6.02,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Super Giants,4.477336814478207,0.7492801204467423,11.918390573078392,8.0925452638913
43,3200,195000.0,17.0,-7.22,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Super Giants,2.833213344056216,0.61619946670848,12.180754837545884,8.070906088787819
44,3008,280000.0,25.0,-6.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Super Giants,3.2188758248682006,0.6474162311377388,12.542544882151386,8.00903068506973
45,3600,320000.0,29.0,-6.6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Super Giants,3.367295829986474,0.6594298248028828,12.676076274775909,8.1886891244442
46,3575,123000.0,45.0,-6.78,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Super Giants,3.8066624897703196,0.6949935786004143,11.719939634354555,8.181720455128108
47,3574,200000.0,89.0,-5.24,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Super Giants,4.48863636973214,0.7501947428745571,12.206072645530174,8.181440695719374
48,3625,184000.0,84.0,-6.74,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Super Giants,4.430816798843313,0.7455146404180332,12.122691036591123,8.195609567288775
49,33750,220000.0,26.0,-6.1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Super Giants,3.258096538021482,0.6505908820933511,12.301382825334498,10.426735696300677
50,3490,270000.0,1520.0,-9.4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Hyper Giants,7.326465613840322,0.9798977899982277,12.506177237980511,8.157657015196472
51,3750,283000.0,1260.0,-7.63,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Hyper Giants,7.138866999945524,0.9647129534414552,12.553202176625375,8.229511118964457
52,3834,272000.0,1183.0,-9.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Hyper Giants,7.075808863978387,0.9596088246403081,12.513557345278134,8.251663923605589
53,3749,550000.0,1648.0,-8.05,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Hyper Giants,7.4073177104694174,0.986442219336462,13.217673557208654,8.229244416735913
54,3650,310000.0,1324.0,-7.79,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Hyper Giants,7.188412736496954,0.9687233450749472,12.644327576461329,8.202482446576537
55,3450,263000.0,1349.0,-11.75,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Hyper Giants,7.207118856207756,0.9702374787059089,12.479909311159902,8.146129510025405
56,3660,363000.0,1673.0,-11.92,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Hyper Giants,7.422373700986824,0.9876608997438521,12.802158113246987,8.205218426395412
57,3450,174000.0,1284.0,-11.28,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Hyper Giants,7.157735484249907,0.9662402293860245,12.066810578196666,8.146129510025405
58,3752,209000.0,955.0,-11.24,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Hyper Giants,6.86171134048073,0.9422790809176557,12.250089530946948,8.230044310126114
59,3535,195000.0,1546.0,-11.36,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Hyper Giants,7.343426229147367,0.9812706368758928,12.180754837545884,8.170468578330674
60,3341,0.0056,0.057,16.23,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Red Dwarf,-2.864704011147587,0.15499166801287081,-5.184988681241033,8.114025442356757
61,3432,0.00067,0.19,16.94,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Red Dwarf,-1.6607312068216509,0.25244510795534664,-7.308232845579262,8.140898460607852
62,2983,0.00024,0.094,16.09,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Red Dwarf,-2.364460496712133,0.19548299067023123,-8.334871634622283,8.000684784514748
63,2835,0.00034,0.0918,16.96,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Red Dwarf,-2.388142981355692,0.1935660540196631,-7.986564940354067,7.949797216161852
64,2935,0.00014,0.116,18.89,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Red Dwarf,-2.1541650878757723,0.21250497897559548,-8.87386813535497,7.984462732262196
65,3295,0.00098,0.132,17.13,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Red Dwarf,-2.0249533563957662,0.22296379305213102,-6.927957986299656,8.100161446936607
66,2945,0.00032,0.093,18.34,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Red Dwarf,-2.375155785828881,0.19461727949148916,-8.047189562170502,7.987864096085687
67,2817,0.00098,0.0911,16.45,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Red Dwarf,-2.3957974747162245,0.19294647465182316,-6.927957986299656,7.943427767876373
68,2774,0.00036,0.118,17.39,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Red Dwarf,-2.137070654516472,0.2138886575177897,-7.929406526514119,7.928045600874777
69,2871,0.00072,0.12,19.43,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Red Dwarf,-2.120263536200091,0.2152490798542133,-7.236259345954173,7.962415680121064
70,3345,0.021,0.273,12.3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Brown Dwarf,-1.2982834837971773,0.28178279505354326,-3.863232841258714,8.11522197256233
71,3607,0.022,0.38,10.12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Brown Dwarf,-0.9675840262617056,0.30855067519846535,-3.816712825623821,8.19063168090354
72,3304,0.0085,0.18,13.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Brown Dwarf,-1.7147984280919266,0.24806873277312702,-4.767689115485866,8.102889134640868
73,3150,0.0088,0.35,11.94,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Brown Dwarf,-1.0498221244986778,0.3018940584221361,-4.733003557497976,8.055157731819678
74,3550,0.004,0.291,10.89,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Brown Dwarf,-1.2344320118106447,0.28695113902952035,-5.521460917862246,8.174702882469461
75,3180,0.001,0.35,11.76,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Brown Dwarf,-1.0498221244986778,0.3018940584221361,-6.907755278982137,8.064636475774222
76,2890,0.0034,0.24,13.46,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Brown Dwarf,-1.4271163556401458,0.27135464709733204,-5.683979847360021,7.969011781106478
77,3342,0.0015,0.307,11.87,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Brown Dwarf,-1.18090753139494,0.29128358301737645,-6.502290170873972,8.114324709155339
78,2621,0.0006,0.098,12.81,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Brown Dwarf,-2.322787800311565,0.1988561130541604,-7.418580902748128,7.8713112033234065
79,3158,0.00135,0.161,13.98,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Brown Dwarf,-1.8263509139976741,0.23903931496020883,-6.607650686531799,8.057694194815587
80,7100,0.00029,0.012,14.09,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,White Dwarf,-4.422848629194137,0.028870419749704977,-8.145629634983754,8.867850063029406
81,10574,0.00014,0.0092,12.02,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,White Dwarf,-4.688551794927142,0.007363548987134771,-8.87386813535497,9.266153436795395
82,8930,0.00056,0.0095,13.78,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,White Dwarf,-4.656463480375642,0.009960880607719567,-7.487573774235079,9.097171673870545
83,17200,0.00098,0.015,12.45,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,White Dwarf,-4.199705077879927,0.046932378124857,-6.927957986299656,9.752664662801545
84,14100,0.00067,0.0089,12.17,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,White Dwarf,-4.721704002244043,0.004680102456524043,-7.308232845579262,9.55393007636626
85,9675,0.00045,0.0109,13.98,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,White Dwarf,-4.518992489747039,0.021088225744520833,-7.706262975199909,9.177300517897983
86,12010,0.00078,0.0092,12.13,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,White Dwarf,-4.688551794927142,0.007363548987134771,-7.156216638280637,9.39349491507403
87,10980,0.00074,0.0087,11.19,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,White Dwarf,-4.744432253321599,0.0028404045468821528,-7.208860371766058,9.30383071506352
88,13720,0.00018,0.00892,12.97,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,White Dwarf,-4.719459332390219,0.0048617932704729545,-8.622553707074063,9.526609901279876
89,19860,0.0011,0.0131,11.34,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,White Dwarf,-4.3351430487750315,0.03596959215898424,-6.812445099177812,9.896462937599164
90,5300,0.59,0.91,5.49,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Main Sequence,-0.09431067947124129,0.37923623499601905,-0.527632742082372,8.575462099540212
91,4526,0.153,0.865,6.506,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Main Sequence,-0.14502577205025774,0.37513119191608557,-1.8773173575897015,8.417593826193484
92,4077,0.085,0.795,6.228,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Main Sequence,-0.2294131643278051,0.36830060435158796,-2.4651040224918206,8.313116702819253
93,4980,0.357,1.13,4.78,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Main Sequence,0.12221763272424911,0.3967627345918325,-1.030019497202498,8.513185170018698
94,9030,45.0,2.63,1.45,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Main Sequence,0.9669838461896731,0.46514083512166676,3.8066624897703196,9.108307646411031
95,11250,672.0,6.98,-2.3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Main Sequence,1.9430489167742813,0.5441466884053883,6.51025834052315,9.328123407632566
96,5112,0.63,0.876,4.68,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Main Sequence,-0.13238918804574562,0.37615403776105566,-0.4620354595965587,8.53934599605737
97,7720,7.92,1.34,2.44,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Main Sequence,0.29266961396282004,0.4105596674270464,2.0693912058263346,8.951569643018821
98,12098,689.0,7.01,0.02,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Main Sequence,1.9473377010464987,0.5444938364298262,6.535241271013659,9.400795428666859
99,36108,198000.0,10.2,-4.4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Main Sequence,2.322387720290225,0.574851594009123,12.196022309676673,10.494269726418045
100,33300,240000.0,12.0,-6.5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Super Giants,2.4849066497880004,0.5880064000632299,12.388394202324129,10.413312675968536
101,40000,813000.0,14.0,-6.23,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Super Giants,2.6390573296152584,0.6004838530128819,13.608486388529947,10.596634733096073
102,23000,127000.0,36.0,-5.76,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Super Giants,3.58351893845611,0.6769316202252623,11.751942365440728,10.043249494911286
103,17120,235000.0,83.0,-6.89,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Super Giants,4.418840607796598,0.7445452489079283,12.367340793126296,9.748002649695733
104,11096,112000.0,12.0,-5.91,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Super Giants,2.4849066497880004,0.5880064000632299,11.626254150277232,9.314339961994667
105,14245,231000.0,42.0,-6.12,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Super Giants,3.7376696182833684,0.6894090731749145,12.35017298950393,9.56416124693201
106,24630,363000.0,63.0,-5.83,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Super Giants,4.143134726391533,0.7222287260938282,12.802158113246987,10.111720491114584
107,12893,184000.0,36.0,-6.34,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Super Giants,3.58351893845611,0.6769316202252623,12.122691036591123,9.464439807410837
108,24345,142000.0,57.0,-6.24,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Super Giants,4.04305126783455,0.7141276483263956,11.863582336583399,10.100081768616802
109,33421,352000.0,67.0,-5.79,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Super Giants,4.204692619390966,0.7272114203929442,12.771386454580234,10.416939723904
110,3459,100000.0,1289.0,-10.7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Hyper Giants,7.161622002939187,0.966554816737425,11.512925464970229,8.148734808937169
111,3605,126000.0,1124.0,-10.81,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Hyper Giants,7.024649030453636,0.9554677827945475,11.744037185933616,8.190077049719049
112,3615,200000.0,1635.0,-11.33,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Hyper Giants,7.399398083331354,0.985801179185976,12.206072645530174,8.192847134592865
113,3399,117000.0,1486.0,-10.92,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Hyper Giants,7.303843225277705,0.9780666609418063,11.669929213779893,8.131236549696116
114,3610,132000.0,1522.0,-10.86,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Hyper Giants,7.3277805384216315,0.9800042242326665,11.790557201568507,8.191463051326927
115,3553,145000.0,1324.0,-11.03,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Hyper Giants,7.188412736496954,0.9687233450749472,11.884489021402711,8.175547596021026
116,4015,282000.0,1534.0,-11.39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Hyper Giants,7.335633981927201,0.980639907266587,12.54966234992025,8.297792626380861
117,3625,74000.0,876.0,-10.25,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Hyper Giants,6.775366090936392,0.9352900180745806,11.211820372186306,8.195609567288775
118,6850,229000.0,1467.0,-10.07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Hyper Giants,7.2909747781429814,0.9770250473476366,12.341477282536376,8.83200393125627
119,3780,200000.0,1324.0,-10.7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Hyper Giants,7.188412736496954,0.9687233450749472,12.206072645530174,8.237479288613633
120,3323,0.00043,0.0912,17.16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Red Dwarf,-2.3947003819018513,0.19303527688083755,-7.751725349276666,8.108623268354595
121,3531,0.00093,0.0976,19.94,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Red Dwarf,-2.32687778556309,0.19852505646331134,-6.980325971816972,8.169336395928386
122,3218,0.00054,0.11,20.02,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Red Dwarf,-2.2072749131897207,0.20820609850836932,-7.523941418405954,8.076515327552329
123,3146,0.00015,0.0932,16.92,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Red Dwarf,-2.3730075572905913,0.19479116403446778,-8.804875263868018,8.053887083618223
124,3511,0.00064,0.109,17.12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Red Dwarf,-2.2164073967529934,0.20746688584902914,-7.354042381610556,8.163656176168432
125,3225,0.00076,0.121,19.63,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Red Dwarf,-2.111964733385396,0.21592081170628707,-7.182192124683898,8.078688229229872
126,2935,0.00087,0.0932,16.88,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Red Dwarf,-2.3730075572905913,0.19479116403446778,-7.047017346315645,7.984462732262196
127,2861,0.00019,0.0899,16.71,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Red Dwarf,-2.4090573375045627,0.19187317861287131,-8.568486485803788,7.95892649305011
128,2856,0.000896,0.0782,19.56,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Red Dwarf,-2.5484856314308715,0.18058740303753618,-7.017570144989343,7.957177323459475
129,2731,0.000437,0.0856,18.09,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Red Dwarf,-2.4580699958344407,0.18790593604907765,-7.735577362868684,7.912423121473705
130,3095,0.00019,0.492,10.87,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Brown Dwarf,-0.709276562489829,0.32945891400331057,-8.568486485803788,8.037543185118697
131,3607,0.00023,0.38,10.34,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Brown Dwarf,-0.9675840262617056,0.30855067519846535,-8.377431249041079,8.19063168090354
132,3100,0.008,0.31,11.17,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Brown Dwarf,-1.171182981502945,0.29207071943396495,-4.8283137373023015,8.039157390473237
133,2989,0.0087,0.34,13.12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Brown Dwarf,-1.0788096613719298,0.2995477137425822,-4.744432253321599,8.002694162283937
134,3542,0.0009,0.62,14.23,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Brown Dwarf,-0.4780358009429998,0.34817628667708367,-7.013115794639964,8.17244681834278
135,3243,0.0023,0.73,14.75,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Brown Dwarf,-0.31471074483970024,0.36139634321729397,-6.074846156047033,8.084254106307318
136,3091,0.0081,0.24,11.43,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Brown Dwarf,-1.4271163556401458,0.27135464709733204,-4.815891217303744,8.036249942132116
137,3598,0.0011,0.56,14.26,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Brown Dwarf,-0.579818495252942,0.3399376672901029,-6.812445099177812,8.188133414510478
138,3324,0.0034,0.34,12.23,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Brown Dwarf,-1.0788096613719298,0.2995477137425822,-5.683979847360021,8.10892415597534
139,3541,0.0013,0.256,14.33,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Brown Dwarf,-1.3625778345025745,0.27657860304638504,-6.645391014514646,8.172164452111904
140,13420,0.00059,0.00981,13.67,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,White Dwarf,-4.624353005404865,0.012560005964077551,-7.435388021064509,9.504501410525673
141,21020,0.0015,0.0112,11.52,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,White Dwarf,-4.491841500681089,0.02328591432420501,-6.502290170873972,9.953229644430943
142,18290,0.0013,0.00934,12.78,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,White Dwarf,-4.673449026741386,0.00858601572979494,-6.645391014514646,9.814109741384911
143,14520,0.00082,0.00972,11.92,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,White Dwarf,-4.63356966050979,0.011813980188818338,-7.106206217705975,9.583282288378786
144,11900,0.00067,0.00898,11.38,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,White Dwarf,-4.712755396668029,0.005404431438821336,-7.308232845579262,9.38429367909962
145,8924,0.00028,0.00879,14.87,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,White Dwarf,-4.734140567285052,0.0036734467912466267,-8.180720954795024,9.096499555552423
